Region,Year,Jelenie (ogółem tys. sztuk),Sarny (ogółem tys. sztuk),Dziki (ogółem tys. sztuk)
DOLNOŚLĄSKIE,2014,17.1,83.9,27.9
DOLNOŚLĄSKIE,2015,15.1,82.5,23.1
DOLNOŚLĄSKIE,2016,15.6,85.1,22.4
DOLNOŚLĄSKIE,2017,32.7,80.7,29.9
DOLNOŚLĄSKIE,2018,29.4,79.0,19.4
DOLNOŚLĄSKIE,2019,27.8,75.6,11.1
DOLNOŚLĄSKIE,2020,30.1,73.0,15.2
DOLNOŚLĄSKIE,2021,25.4,74.9,10.6
DOLNOŚLĄSKIE,2022,27.2,72.5,8.2
DOLNOŚLĄSKIE,2023,24.8,69.8,6.4
DOLNOŚLĄSKIE,2024,25.0,72.6,6.2
KUJAWSKO-POMORSKIE,2014,10.1,51.0,13.5
KUJAWSKO-POMORSKIE,2015,10.3,50.9,13.7
KUJAWSKO-POMORSKIE,2016,10.2,51.9,13.3
KUJAWSKO-POMORSKIE,2017,9.3,51.6,8.4
KUJAWSKO-POMORSKIE,2018,9.4,50.2,2.6
KUJAWSKO-POMORSKIE,2019,9.5,49.6,2.8
KUJAWSKO-POMORSKIE,2020,10.7,50.2,3.1
KUJAWSKO-POMORSKIE,2021,11.8,53.2,3.0
KUJAWSKO-POMORSKIE,2022,18.1,55.7,2.6
KUJAWSKO-POMORSKIE,2023,13.6,51.8,2.6
KUJAWSKO-POMORSKIE,2024,14.4,53.2,2.8
LUBELSKIE,2014,7.9,54.9,17.5
LUBELSKIE,2015,8.2,54.6,16.8
LUBELSKIE,2016,7.6,52.7,12.9
LUBELSKIE,2017,8.5,56.1,11.4
LUBELSKIE,2018,9.0,58.0,3.7
LUBELSKIE,2019,9.9,59.8,2.4
LUBELSKIE,2020,9.9,61.2,1.8
LUBELSKIE,2021,10.6,62.7,1.5
LUBELSKIE,2022,11.6,62.9,1.8
LUBELSKIE,2023,12.8,62.2,1.9
LUBELSKIE,2024,13.6,62.7,2.3
LUBUSKIE,2014,14.7,54.5,20.8
LUBUSKIE,2015,14.4,52.8,19.1
LUBUSKIE,2016,14.5,53.9,19.7
LUBUSKIE,2017,15.5,52.9,13.9
LUBUSKIE,2018,15.2,49.8,5.1
LUBUSKIE,2019,15.3,46.3,4.9
LUBUSKIE,2020,15.7,45.6,5.6
LUBUSKIE,2021,17.6,46.9,4.2
LUBUSKIE,2022,18.1,49.6,2.4
LUBUSKIE,2023,16.3,46.2,2.4
LUBUSKIE,2024,17.9,46.0,2.7
MAZOWIECKIE,2014,7.2,63.8,19.8
MAZOWIECKIE,2015,7.5,66.2,19.7
MAZOWIECKIE,2016,8.2,69.9,18.3
MAZOWIECKIE,2017,9.1,72.8,15.9
MAZOWIECKIE,2018,9.2,73.7,5.3
MAZOWIECKIE,2019,9.7,75.5,4.3
MAZOWIECKIE,2020,9.9,75.4,3.9
MAZOWIECKIE,2021,10.3,77.7,3.7
MAZOWIECKIE,2022,10.5,76.9,3.4
MAZOWIECKIE,2023,10.4,76.7,3.8
MAZOWIECKIE,2024,12.3,79.7,4.3
MAŁOPOLSKIE,2014,6.5,33.6,6.0
MAŁOPOLSKIE,2015,6.2,33.0,5.7
MAŁOPOLSKIE,2016,6.2,33.6,5.7
MAŁOPOLSKIE,2017,8.9,45.4,6.5
MAŁOPOLSKIE,2018,8.7,42.9,2.1
MAŁOPOLSKIE,2019,9.0,41.5,1.9
MAŁOPOLSKIE,2020,10.2,42.9,2.4
MAŁOPOLSKIE,2021,10.4,43.0,2.2
MAŁOPOLSKIE,2022,9.3,41.7,2.2
MAŁOPOLSKIE,2023,9.6,40.4,2.6
MAŁOPOLSKIE,2024,9.8,40.7,3.0
OPOLSKIE,2014,10.3,38.2,11.5
OPOLSKIE,2015,9.6,37.3,10.4
OPOLSKIE,2016,9.3,38.2,10.1
OPOLSKIE,2017,12.3,43.8,8.2
OPOLSKIE,2018,11.4,44.5,2.4
OPOLSKIE,2019,10.5,43.9,2.0
OPOLSKIE,2020,5.9,21.0,1.1
OPOLSKIE,2021,11.6,45.8,2.2
OPOLSKIE,2022,12.4,48.3,2.2
OPOLSKIE,2023,12.2,47.7,1.9
OPOLSKIE,2024,12.5,46.3,2.1
PODKARPACKIE,2014,12.5,42.9,11.2
PODKARPACKIE,2015,12.7,42.6,11.8
PODKARPACKIE,2016,12.5,42.8,9.6
PODKARPACKIE,2017,18.2,51.2,8.3
PODKARPACKIE,2018,17.4,50.9,2.9
PODKARPACKIE,2019,16.6,47.9,2.2
PODKARPACKIE,2020,15.7,46.6,2.4
PODKARPACKIE,2021,15.2,45.8,1.9
PODKARPACKIE,2022,15.6,45.1,1.9
PODKARPACKIE,2023,15.2,44.5,1.9
PODKARPACKIE,2024,16.4,43.7,1.7
PODLASKIE,2014,13.8,28.0,14.9
PODLASKIE,2015,13.1,27.2,10.4
PODLASKIE,2016,12.7,27.4,7.9
PODLASKIE,2017,12.3,27.1,5.0
PODLASKIE,2018,12.4,27.8,1.9
PODLASKIE,2019,12.7,28.4,1.6
PODLASKIE,2020,16.5,30.9,1.6
PODLASKIE,2021,15.8,29.6,1.7
PODLASKIE,2022,12.8,28.1,1.6
PODLASKIE,2023,12.7,27.8,1.6
PODLASKIE,2024,12.5,28.8,1.6
POMORSKIE,2014,20.3,59.9,20.4
POMORSKIE,2015,20.1,59.4,19.1
POMORSKIE,2016,20.4,59.4,19.0
POMORSKIE,2017,31.6,75.5,18.7
POMORSKIE,2018,29.0,64.9,8.4
POMORSKIE,2019,25.4,60.9,7.2
POMORSKIE,2020,24.4,57.9,6.8
POMORSKIE,2021,24.0,56.6,6.5
POMORSKIE,2022,23.6,54.2,5.3
POMORSKIE,2023,23.5,51.7,4.5
POMORSKIE,2024,22.3,48.5,4.6
WARMIŃSKO-MAZURSKIE,2014,27.0,67.9,29.3
WARMIŃSKO-MAZURSKIE,2015,27.2,68.8,27.1
WARMIŃSKO-MAZURSKIE,2016,25.9,69.2,24.1
WARMIŃSKO-MAZURSKIE,2017,25.9,71.5,18.5
WARMIŃSKO-MAZURSKIE,2018,25.6,71.1,5.1
WARMIŃSKO-MAZURSKIE,2019,26.2,72.0,5.3
WARMIŃSKO-MAZURSKIE,2020,27.7,73.3,4.0
WARMIŃSKO-MAZURSKIE,2021,26.4,67.5,3.2
WARMIŃSKO-MAZURSKIE,2022,26.9,65.8,2.5
WARMIŃSKO-MAZURSKIE,2023,27.1,64.7,2.9
WARMIŃSKO-MAZURSKIE,2024,27.7,63.2,3.3
WIELKOPOLSKIE,2014,21.3,97.5,30.1
WIELKOPOLSKIE,2015,21.7,96.3,28.1
WIELKOPOLSKIE,2016,25.3,102.3,28.2
WIELKOPOLSKIE,2017,31.8,102.1,23.2
WIELKOPOLSKIE,2018,29.7,95.8,9.8
WIELKOPOLSKIE,2019,30.4,95.3,7.9
WIELKOPOLSKIE,2020,30.7,98.0,8.8
WIELKOPOLSKIE,2021,33.1,105.2,8.1
WIELKOPOLSKIE,2022,35.3,108.1,6.1
WIELKOPOLSKIE,2023,34.2,107.5,6.1
WIELKOPOLSKIE,2024,32.9,104.9,6.3
ZACHODNIOPOMORSKIE,2014,32.4,95.4,38.5
ZACHODNIOPOMORSKIE,2015,31.5,94.6,36.3
ZACHODNIOPOMORSKIE,2016,34.2,97.1,36.1
ZACHODNIOPOMORSKIE,2017,48.8,96.4,26.5
ZACHODNIOPOMORSKIE,2018,48.2,92.1,10.9
ZACHODNIOPOMORSKIE,2019,46.6,89.3,11.5
ZACHODNIOPOMORSKIE,2020,47.4,90.8,11.5
ZACHODNIOPOMORSKIE,2021,47.6,87.9,12.8
ZACHODNIOPOMORSKIE,2022,47.8,87.4,8.9
ZACHODNIOPOMORSKIE,2023,46.0,84.1,7.9
ZACHODNIOPOMORSKIE,2024,45.9,83.0,8.0
ŁÓDZKIE,2014,5.2,50.1,8.8
ŁÓDZKIE,2015,5.2,49.9,8.3
ŁÓDZKIE,2016,5.2,51.1,8.7
ŁÓDZKIE,2017,6.3,53.9,7.9
ŁÓDZKIE,2018,6.3,54.1,2.9
ŁÓDZKIE,2019,6.5,52.9,2.3
ŁÓDZKIE,2020,7.4,54.0,2.5
ŁÓDZKIE,2021,7.9,55.3,2.4
ŁÓDZKIE,2022,8.1,54.3,2.2
ŁÓDZKIE,2023,8.4,52.6,2.3
ŁÓDZKIE,2024,8.1,50.8,2.3
ŚLĄSKIE,2014,9.4,34.8,9.8
ŚLĄSKIE,2015,8.4,33.4,9.5
ŚLĄSKIE,2016,7.9,33.1,9.1
ŚLĄSKIE,2017,11.2,37.8,7.9
ŚLĄSKIE,2018,10.5,38.2,3.1
ŚLĄSKIE,2019,10.0,37.0,2.6
ŚLĄSKIE,2020,9.5,35.0,2.5
ŚLĄSKIE,2021,9.7,34.9,2.2
ŚLĄSKIE,2022,10.6,38.0,2.4
ŚLĄSKIE,2023,10.3,36.8,2.5
ŚLĄSKIE,2024,10.8,36.4,2.7
ŚWIĘTOKRZYSKIE,2014,3.1,20.7,5.5
ŚWIĘTOKRZYSKIE,2015,3.2,21.0,5.5
ŚWIĘTOKRZYSKIE,2016,3.6,23.0,5.5
ŚWIĘTOKRZYSKIE,2017,4.5,31.0,5.5
ŚWIĘTOKRZYSKIE,2018,4.3,29.6,2.2
ŚWIĘTOKRZYSKIE,2019,4.5,30.3,1.9
ŚWIĘTOKRZYSKIE,2020,4.5,29.6,2.0
ŚWIĘTOKRZYSKIE,2021,4.6,29.9,1.8
ŚWIĘTOKRZYSKIE,2022,4.9,30.1,1.8
ŚWIĘTOKRZYSKIE,2023,5.0,28.7,1.8
ŚWIĘTOKRZYSKIE,2024,5.9,29.8,2.0
